iter	Logloss
0	0.6485018768
1	0.6101758782
2	0.5745894226
3	0.5447218894
4	0.5186352641
5	0.4959216541
6	0.4745096081
7	0.4582316533
8	0.4410238417
9	0.4271990692
10	0.4152380407
11	0.4033777213
12	0.3922831278
13	0.3836300412
14	0.3754518588
15	0.367789656
16	0.3605422311
17	0.3544157616
18	0.3488392567
19	0.3440130279
20	0.3400394291
21	0.3358936728
22	0.3322664531
23	0.3290581723
24	0.3261934418
25	0.323144658
26	0.3205614566
27	0.3185740771
28	0.3166133238
29	0.31483714
30	0.3131716724
31	0.3112976403
32	0.3097658047
33	0.3083706979
34	0.3070048867
35	0.3058701265
36	0.304966551
37	0.3037868782
38	0.302708353
39	0.3018584033
40	0.3009053531
41	0.3001560325
42	0.2995649707
43	0.2988333532
44	0.2983024865
45	0.2977060731
46	0.2969674697
47	0.2962378097
48	0.2957337217
49	0.2951052271
50	0.2944765785
51	0.293880498
52	0.2933333005
53	0.2929759802
54	0.2925561895
55	0.2921096304
56	0.2916791554
57	0.2913529139
58	0.2908863251
59	0.2905127472
60	0.2901634554
61	0.2898304265
62	0.2894871788
63	0.2891759975
64	0.2889415966
65	0.2886766726
66	0.2883896846
67	0.2880324392
68	0.2876718637
69	0.2874084088
70	0.2871889288
71	0.2869496754
72	0.2866969006
73	0.2864753329
74	0.2862957223
75	0.2861270614
76	0.2859434677
77	0.2857795474
78	0.2855030414
79	0.2852945561
80	0.2851576015
81	0.2849733495
82	0.2847749348
83	0.2846057821
84	0.2844440733
85	0.2842882141
86	0.2841260979
87	0.2840327179
88	0.2839109454
89	0.2837374296
90	0.2836531651
91	0.2835098515
92	0.2832840611
93	0.2831485529
94	0.2830211913
95	0.2828866377
96	0.2827582788
97	0.2825994081
98	0.2824614869
99	0.2822745588
100	0.2821689396
101	0.2820573227
102	0.2818739616
103	0.2817468088
104	0.2816575609
105	0.2815303915
106	0.2813981309
107	0.2812208692
108	0.2811322681
109	0.28102642
110	0.2808827868
111	0.2808097372
112	0.2806888145
113	0.2805812744
114	0.2804840675
115	0.2804102325
116	0.2802123964
117	0.2800825361
118	0.2799989401
119	0.2798889938
120	0.2797909357
121	0.2796369728
122	0.2795492923
123	0.2794762077
124	0.2793282201
125	0.2792445322
126	0.2791600664
127	0.2790939767
128	0.2790020244
129	0.2789477896
130	0.2788014575
131	0.278746873
132	0.278676175
133	0.278610454
134	0.2785430968
135	0.2784168356
136	0.2783074873
137	0.2782167944
138	0.2781381517
139	0.278032549
140	0.2779625319
141	0.2778364903
142	0.2777608934
143	0.2776761883
144	0.2775220096
145	0.2774385117
146	0.2773102206
147	0.2772038825
148	0.2771101151
149	0.2770299195
150	0.2769254533
151	0.2768325906
152	0.2767389311
153	0.2766484687
154	0.276575678
155	0.2764812029
156	0.2764194461
157	0.276327444
158	0.2762814504
159	0.2761951585
160	0.2761465815
161	0.2760918511
162	0.2759917824
163	0.2759284183
164	0.2758380435
165	0.2757561354
166	0.2756641522
167	0.2755878446
168	0.2755041886
169	0.2754449316
170	0.27536645
171	0.2752864301
172	0.2752219272
173	0.2751498022
174	0.2750781971
175	0.2750228232
176	0.2749402282
177	0.2748829735
178	0.2747796865
179	0.2746941574
180	0.2746061216
181	0.2745102077
182	0.2744574167
183	0.2744019008
184	0.2743197871
185	0.2742605742
186	0.2741772416
187	0.274130215
188	0.2740640358
189	0.2739783158
190	0.273918456
191	0.2738327687
192	0.2737549817
193	0.2737112335
194	0.2736692873
195	0.2735461764
196	0.2734580883
197	0.2733732891
198	0.273304778
199	0.2732595974
200	0.2731967685
201	0.2731258331
202	0.273052841
203	0.2729993239
204	0.2729126415
205	0.272861822
206	0.2727974209
207	0.2727218682
208	0.2726603
209	0.2726057799
210	0.2725212676
211	0.2724673692
212	0.272400205
213	0.2723500802
214	0.2722558122
215	0.2722005818
216	0.2721332329
217	0.2720262617
218	0.2719463169
219	0.2718844227
220	0.2718084884
221	0.2717541818
222	0.2716607566
223	0.2716067817
224	0.2715508814
225	0.2715028346
226	0.2714011014
227	0.2713323643
228	0.271279269
229	0.2712382238
230	0.271186466
231	0.2711165003
232	0.2710470678
233	0.2709318052
234	0.2708535427
235	0.2707773116
236	0.2707066085
237	0.2706358794
238	0.2705653045
239	0.2705140301
240	0.2704447587
241	0.2703699811
242	0.2702738667
243	0.2701855982
244	0.2701181083
245	0.2699962068
246	0.2699615
247	0.2698698877
248	0.269805385
249	0.2697267051
250	0.2696384506
251	0.2695426531
252	0.2694901604
253	0.2694270686
254	0.2693714762
255	0.269300007
256	0.2692146877
257	0.269122777
258	0.2690613488
259	0.2689746709
260	0.2689164562
261	0.2688468696
262	0.2687754716
263	0.2687147845
264	0.2686440095
265	0.2685674817
266	0.2684653906
267	0.2683770872
268	0.2683046847
269	0.268243188
270	0.2681795611
271	0.2681218982
272	0.268052959
273	0.2679833223
274	0.2679059945
275	0.2678574367
276	0.2678017178
277	0.2677425292
278	0.2676328969
279	0.2675461838
280	0.2674620554
281	0.2673871768
282	0.2673410071
283	0.2672450297
284	0.2671838532
285	0.2671068222
286	0.2669973399
287	0.266897904
288	0.2668293658
289	0.2667815982
